Customer Name,Customer ID,Row ID,Lenghth,Order Priority,Discount, Unit Price , Shipping Cost ,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Country,Region,State or Province,City,Postal Code,Order Date,Ship Date, Profit ,Quantity ordered new,Sales,Order ID,Status
Carrie Lewis,1728,26066,4,High,4%, $55.48 , $6.79 ,Regular Air,Corporate,Office Supplies,Paper,Small Box,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",37%,United States,East,Ohio,Kettering,45429,22-02-2015,24-02-2015, $376.88 ,10,546.21,87195,Accepted
Ron Newton,114,19951,6,Medium,9%, $4.00 , $1.30 ,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,EcoTones® Memo Sheets,37%,United States,West,Oregon,Lake Oswego,97035,04-04-2015,06-04-2015, $14.09 ,5,20.42,89584,Accepted
Linda Weiss,117,1951,6,Medium,9%, $4.00 , $1.30 ,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,EcoTones® Memo Sheets,37%,United States,West,Washington,Seattle,98103,04-04-2015,06-04-2015, $16.79 ,19,77.61,13959,Accepted
Rick Houston,2531,23782,6,Medium,8%, $4.00 , $1.30 ,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,EcoTones® Memo Sheets,37%,United States,West,California,Atascadero,93422,02-05-2015,04-05-2015, $28.40 ,14,51.99,87452,Accepted
Elisabeth Shaw,3331,23294,13,Not Specified,2%, $4.00 , $1.30 ,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,EcoTones® Memo Sheets,37%,United States,South,Florida,Ormond Beach,32174,09-01-2015,09-01-2015, $(23.30),12,50.71,86284,Accepted
Leah Clapp,651,23434,3,Low,7%, $13.40 , $4.95 ,Regular Air,Consumer,Furniture,Office Furnishings,Small Pack,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,37%,United States,West,Nevada,Las Vegas,89115,15-02-2015,20-02-2015, $102.77 ,11,148.94,91576,Accepted
Karen O'Donnell,2197,23301,8,Critical,0%, $13.40 , $4.95 ,Regular Air,Small Business,Furniture,Office Furnishings,Small Pack,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,37%,United States,East,New York,Levittown,11756,26-06-2015,27-06-2015, $187.76 ,19,272.12,89176,Accepted
Lois Hansen,1246,5118,4,High,4%, $6.98 , $2.83 ,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,G.E. Halogen Desk Lamp Bulbs,37%,United States,East,New York,New York City,10009,05-04-2015,07-04-2015, $46.01 ,18,129.48,36452,Accepted
Henry O'Connell,1247,23118,4,High,4%, $6.98 , $2.83 ,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,G.E. Halogen Desk Lamp Bulbs,37%,United States,Central,Texas,Leander,78641,05-04-2015,07-04-2015, $24.82 ,5,35.97,91555,Accepted
Edwin Chung,3309,23451,8,Critical,10%, $6.64 , $54.95 ,Regular Air,Small Business,Furniture,Office Furnishings,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,37%,United States,East,Massachusetts,Natick,1760,24-03-2015,26-03-2015, $(25.00),4,25.31,90460,Accepted
Carrie McIntosh,3347,18948,6,Medium,5%, $6.64 , $4.95 ,Express Air,Consumer,Furniture,Office Furnishings,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,37%,United States,South,Florida,Royal Palm Beach,33411,06-01-2015,08-01-2015, $(92.93),5,34.17,89355,Accepted
Brad Stark,1528,24975,8,Critical,1%, $525.98 , $19.99 ,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,GBC DocuBind 300 Electric Binding Machine,37%,United States,South,North Carolina,Eden,27288,09-01-2015,11-01-2015, $(161.92),9,4920.81,86813,Accepted
Jill Clements,535,26210,3,Low,0%, $15.99 , $13.18 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",37%,United States,South,Virginia,Montclair,22025,21-04-2015,25-04-2015, $46.49 ,23,403.25,88511,Accepted
Leah Clapp,651,24199,4,High,8%, $15.99 , $13.18 ,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",37%,United States,West,Nevada,Las Vegas,89115,07-01-2015,08-01-2015, $(246.93),12,192.33,91575,Accepted
Vicki Bond,1065,19445,8,Critical,1%, $15.99 , $13.18 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",37%,United States,Central,Illinois,Burbank,60459,18-02-2015,20-02-2015, $(99.44),23,377.44,88899,Accepted
Rodney Field,1442,21945,3,Low,2%, $15.99 , $13.18 ,Express Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",37%,United States,Central,Missouri,Springfield,65807,30-01-2015,03-02-2015, $(76.99),7,123.03,89077,Accepted
Eugene Clayton,2868,19293,13,Not Specified,8%, $15.99 , $13.18 ,Express Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",37%,United States,West,Washington,Edmonds,98026,25-05-2015,27-05-2015, $(66.59),4,66.02,85828,Accepted
Wayne English,3113,21120,13,Not Specified,7%, $34.54 , $14.72 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC Recycled Grain Textured Covers,37%,United States,South,Louisiana,New Iberia,70560,17-05-2015,18-05-2015, $(20.18),17,574.97,86860,Accepted
Mildred Briggs,2379,18151,3,Low,6%, $122.99 , $19.99 ,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,GBC Therma-A-Bind 250T Electric Binding System,37%,United States,Central,Michigan,Garden City,48135,05-05-2015,07-05-2015," $1,019.71 ",12,1477.84,86655,Accepted
Geoffrey Saunders,2382,151,3,Low,6%, $122.99 , $19.99 ,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,GBC Therma-A-Bind 250T Electric Binding System,37%,United States,East,New York,New York City,10024,05-05-2015,07-05-2015," $1,408.19 ",48,5911.35,962,Accepted
Teresa Watts,3005,23295,8,Critical,5%, $122.99 , $19.99 ,Express Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC Therma-A-Bind 250T Electric Binding System,37%,United States,West,Idaho,Coeur D Alene,83814,08-06-2015,11-06-2015," $1,039.75 ",12,1506.89,91389,Accepted
Stephanie Sun Perry,945,23479,13,Not Specified,3%, $31.74 , $12.62 ,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,GBC Wire Binding Strips,37%,United States,West,California,Saratoga,95070,06-03-2015,06-03-2015, $(4.30),3,98.7,86567,Accepted
Dwight Bishop,1108,20807,6,Medium,9%, $31.74 , $12.62 ,Express Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,GBC Wire Binding Strips,37%,United States,Central,Texas,Lancaster,75146,20-05-2015,20-05-2015, $67.11 ,9,270.55,86409,Accepted
Annie Odom,2089,21698,3,Low,8%, $599.99 , $24.49 ,Regular Air,Corporate,Technology,Copiers and Fax,Large Box,Hewlett Packard LaserJet 3310 Copier,37%,United States,East,New York,New City,10956,30-06-2015,08-07-2015," $8,798.18 ",22,12750.99,88348,Accepted
Katherine W Epstein,1634,26340,13,Not Specified,8%, $100.97 , $14.00 ,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Drum,Hewlett-Packard Deskjet 3820 Color Inkjet Printer,37%,United States,South,Mississippi,Jackson,39212,09-04-2015,10-04-2015, $(73.49),15,1483.16,90532,Accepted
Bernard Thompson,2257,21937,4,High,6%, $6.68 , $6.93 ,Regular Air,Corporate,Office Supplies,Paper,Small Box,HP Office Paper (20Lb. and 87 Bright),37%,United States,South,North Carolina,Raleigh,27604,12-06-2015,13-06-2015, $7.62 ,14,91.92,87965,Accepted
Larry Langston,2286,21531,6,Medium,10%, $6.68 , $6.93 ,Regular Air,Corporate,Office Supplies,Paper,Small Box,HP Office Paper (20Lb. and 87 Bright),37%,United States,South,South Carolina,Spartanburg,29301,04-02-2015,07-02-2015, $(100.07),3,21.56,90145,Accepted
Grace Black,2880,18642,6,Medium,5%, $6.68 , $6.93 ,Regular Air,Small Business,Office Supplies,Paper,Small Box,HP Office Paper (20Lb. and 87 Bright),37%,United States,South,Florida,North Miami Beach,33160,28-03-2015,29-03-2015, $(2.35),11,77.2,88626,Accepted
Glen Newman,1023,18921,8,Critical,2%, $39.06 , $10.55 ,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Ibico Recycled Linen-Style Covers,37%,United States,East,Pennsylvania,Wilkinsburg,15221,15-05-2015,15-05-2015, $442.09 ,16,640.71,88633,Accepted
Suzanne Cochran,1829,21385,3,Low,5%, $39.06 , $10.55 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Ibico Recycled Linen-Style Covers,37%,United States,Central,Iowa,Cedar Rapids,52402,06-01-2015,13-01-2015, $250.98 ,9,363.74,86960,Accepted
Carolyn Fisher,2122,22231,8,Critical,6%, $80.97 , $33.60 ,Delivery Truck,Consumer,Technology,Office Machines,Jumbo Drum,Lexmark Z25 Color Inkjet Printer,37%,United States,South,Arkansas,Sherwood,72116,01-02-2015,03-02-2015, $(15.18),10,799.76,89664,Accepted
Leslie Hawley,2837,19192,4,High,10%, $80.97 , $33.60 ,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Drum,Lexmark Z25 Color Inkjet Printer,37%,United States,Central,Oklahoma,Tulsa,74133,08-03-2015,11-03-2015, $(149.46),3,232.16,89801,Accepted
Dana Boyle,3366,19749,3,Low,10%, $80.97 , $33.60 ,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Drum,Lexmark Z25 Color Inkjet Printer,37%,United States,East,Ohio,Troy,45373,24-05-2015,29-05-2015, $66.22 ,11,837.57,90501,Accepted
Monica McCormick,395,24638,8,Critical,4%, $15.98 , $4.00 ,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,Logitech Access Keyboard,37%,United States,South,North Carolina,Albemarle,28001,18-06-2015,19-06-2015, $(19.21),4,64.59,86384,Accepted
Jessie Kelly,920,21970,3,Low,10%, $15.98 , $4.00 ,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,Logitech Access Keyboard,37%,United States,West,California,Redlands,92374,27-03-2015,01-04-2015, $92.72 ,9,134.38,90491,Accepted
Emily Sims,666,24776,3,Low,2%, $4.57 , $5.42 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Newell® 3-Hole Punched Plastic Slotted Magazine Holders for Binders,37%,United States,South,Tennessee,Nashville,37211,22-04-2015,26-04-2015, $(352.81),11,54.04,88679,Accepted
Allison Kirby,667,6776,3,Low,2%, $4.57 , $5.42 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Newell® 3-Hole Punched Plastic Slotted Magazine Holders for Binders,37%,United States,Central,Texas,Dallas,75203,22-04-2015,26-04-2015, $(124.28),45,221.06,48257,Accepted
Charlotte L Doyle,1499,20016,6,Medium,5%, $2.16 , $6.05 ,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Peel & Stick Add-On Corner Pockets,37%,United States,South,Florida,Coral Gables,33134,04-02-2015,05-02-2015, $(298.89),8,18.59,90731,Accepted
Jerry Ennis,1609,22682,4,High,3%, $2.16 , $6.05 ,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Peel & Stick Add-On Corner Pockets,37%,United States,West,California,Sacramento,95823,11-05-2015,12-05-2015, $(90.59),7,17.31,87824,Accepted
Derek Sweeney,2526,18866,8,Critical,1%, $2.16 , $6.05 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Peel & Stick Add-On Corner Pockets,37%,United States,South,Louisiana,Lafayette,70506,23-05-2015,25-05-2015, $395.76 ,24,58.05,87208,Accepted
Kelly Byers,2781,22095,3,Low,9%, $2.16 , $6.05 ,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Peel & Stick Add-On Corner Pockets,37%,United States,West,Oregon,Woodburn,97071,31-01-2015,04-02-2015, $(37.79),2,5.48,87162,Accepted
Janice Cole,169,19316,3,Low,5%, $574.74 , $24.49 ,Regular Air,Corporate,Technology,Office Machines,Large Box,Polycom ViaVideo™ Desktop Video Communications Unit,37%,United States,South,Louisiana,Baton Rouge,70802,03-01-2015,10-01-2015, $(112.43),12,6945.16,87463,Accepted
Theodore Rubin,2775,20956,3,Low,7%, $574.74 , $24.49 ,Regular Air,Consumer,Technology,Office Machines,Large Box,Polycom ViaVideo™ Desktop Video Communications Unit,37%,United States,Central,Illinois,Franklin Park,60131,30-01-2015,04-02-2015," $2,860.93 ",8,4146.28,91229,Accepted
Annie Horne,2359,21772,8,Critical,0%, $7.28 , $1.77 ,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,"Post-it® “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",37%,United States,South,Florida,Fort Myers,33917,05-02-2015,05-02-2015, $167.16 ,7,53.42,88265,Accepted
Cindy McLeod,2796,23351,6,Medium,2%, $30.44 , $1.49 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,"Premier Elliptical Ring Binder, Black",37%,United States,Central,Iowa,Sioux City,51106,21-01-2015,23-01-2015, $266.76 ,12,386.61,87553,Accepted
Priscilla Frank,1008,18529,4,High,1%, $3.15 , $0.49 ,Regular Air,Home Office,Office Supplies,Labels,Small Box,Self-Adhesive Removable Labels,37%,United States,East,Maine,Gorham,4038,25-05-2015,27-05-2015, $17.51 ,8,25.37,88371,Accepted
Ruth Lamm,540,24783,6,Medium,5%, $204.10 , $13.99 ,Regular Air,Small Business,Technology,Office Machines,Medium Box,"Soundgear Copyboard Conference Phone, Optional Battery",37%,United States,Central,Illinois,Vernon Hills,60061,23-05-2015,25-05-2015," $5,924.11 ",41,8585.67,91175,Accepted
Tonya Proctor,1121,21329,3,Low,4%, $19.98 , $8.68 ,Regular Air,Consumer,Office Supplies,Paper,Small Box,Southworth 25% Cotton Premium Laser Paper and Envelopes,37%,United States,West,California,Temecula,92592,07-02-2015,14-02-2015, $108.00 ,8,168.04,86767,Accepted
David Weaver,1989,22601,13,Not Specified,9%, $19.98 , $8.68 ,Regular Air,Home Office,Office Supplies,Paper,Small Box,Southworth 25% Cotton Premium Laser Paper and Envelopes,37%,United States,West,Utah,Holladay,84117,21-01-2015,22-01-2015, $6.68 ,5,93.19,90000,Accepted
Christina Matthews,171,19314,8,Critical,5%, $1.88 , $1.49 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Staples® General Use 3-Ring Binders,37%,United States,East,New Jersey,Fort Lee,7024,13-04-2015,15-04-2015, $(2.91),1,3.42,87464,Accepted
April Hu,526,20494,13,Not Specified,0%, $1.88 , $1.49 ,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Staples® General Use 3-Ring Binders,37%,United States,West,Arizona,Mesa,85204,17-01-2015,18-01-2015, $(15.56),13,25.39,90027,Accepted
Lindsay P Ashley,604,4903,8,Critical,3%, $1.88 , $1.49 ,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Staples® General Use 3-Ring Binders,37%,United States,West,California,Los Angeles,90045,24-01-2015,25-01-2015, $(15.10),52,102.32,34882,Accepted
Josephine Rao,1279,20628,8,Critical,7%, $40.98 , $7.47 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",37%,United States,Central,Indiana,Hammond,46324,01-03-2015,02-03-2015, $54.90 ,2,81.9,90114,Accepted
Harold Albright,1280,2628,8,Critical,7%, $40.98 , $7.47 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",37%,United States,West,Washington,Seattle,98119,01-03-2015,02-03-2015, $54.90 ,8,327.61,19042,Accepted
Lloyd Dolan,2979,18170,8,Critical,3%, $40.98 , $7.47 ,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",37%,United States,Central,North Dakota,Dickinson,58601,26-02-2015,27-02-2015, $170.80 ,6,247.53,86545,Accepted
Miriam Bowman,2968,21390,13,Not Specified,8%, $9.68 , $2.03 ,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,"Wirebound Service Call Books, 5 1/2"" x 4""",37%,United States,South,Florida,Hollywood,33021,22-02-2015,24-02-2015, $(536.24),1,10.94,86085,Accepted
Randall Boykin,1519,23470,8,Critical,6%, $55.48 , $4.85 ,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 1888,37%,United States,East,Maine,Auburn,4210,14-06-2015,14-06-2015, $711.05 ,19,1030.51,89957,Accepted
Kristina Collier,1361,24432,8,Critical,1%, $6.48 , $6.22 ,Express Air,Consumer,Office Supplies,Paper,Small Box,Xerox 1894,37%,United States,Central,Michigan,Allen Park,48101,10-02-2015,11-02-2015, $(15.63),9,69.46,89596,Accepted
Kyle Kaufman,1439,23415,8,Critical,5%, $6.48 , $6.22 ,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1894,37%,United States,East,Ohio,Euclid,44117,28-04-2015,29-04-2015, $(29.07),3,21.46,90121,Accepted
Bonnie Chambers,353,19108,3,Low,7%, $6.68 , $6.92 ,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1898,37%,United States,West,Arizona,Glendale,85301,14-05-2015,21-05-2015, $(141.12),16,104.84,89647,Accepted
Frances Holt,2512,21102,13,Not Specified,4%, $6.48 , $9.54 ,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1905,37%,United States,East,Massachusetts,Cambridge,2138,15-06-2015,17-06-2015, $(223.94),19,125.37,87030,Accepted
Edna Freeman,2547,25460,3,Low,7%, $6.48 , $9.54 ,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1905,37%,United States,South,Virginia,Virginia Beach,23464,19-04-2015,19-04-2015, $2.23 ,1,10.86,87916,Accepted
Gregory Rao,510,19895,3,Low,2%, $48.04 , $5.09 ,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1910,37%,United States,West,California,Manteca,95336,13-01-2015,13-01-2015, $105.25 ,3,152.54,90058,Accepted
Ernest Oh,949,1128,3,Low,2%, $48.04 , $5.09 ,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 1910,37%,United States,West,California,Los Angeles,90049,22-03-2015,26-03-2015, $373.67 ,18,881.32,8257,Accepted
Jane Shah,950,19128,3,Low,2%, $48.04 , $5.09 ,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 1910,37%,United States,Central,Minnesota,Prior Lake,55372,22-03-2015,26-03-2015, $168.92 ,5,244.81,89084,Accepted
Erin Ballard,1044,6711,4,High,0%, $6.68 , $5.66 ,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1923,37%,United States,West,California,Los Angeles,90004,27-02-2015,28-02-2015, $(76.94),90,617.4,47813,Returned
Gayle Pearson,1047,24711,4,High,0%, $6.68 , $5.66 ,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1923,37%,United States,East,Massachusetts,Boston,2109,27-02-2015,28-02-2015, $(40.01),23,157.78,89389,Accepted
Constance Flowers,1723,6212,6,Medium,5%, $6.68 , $5.66 ,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1923,37%,United States,West,California,San Diego,92037,07-02-2015,09-02-2015, $(66.48),46,320.93,44002,Accepted
Danny Vaughn,737,23613,3,Low,2%, $48.04 , $5.79 ,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 1937,37%,United States,East,New Jersey,Bloomfield,7003,07-06-2015,14-06-2015, $422.45 ,12,612.25,90360,Accepted
Bonnie Matthews Rowland,1959,3685,3,Low,2%, $48.04 , $5.79 ,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1937,37%,United States,South,Florida,Miami,33916,18-04-2015,23-04-2015, $624.24 ,74,3598.82,26342,Accepted
Sean Burton,1962,21685,3,Low,2%, $48.04 , $5.79 ,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1937,37%,United States,Central,Michigan,Saginaw,48601,18-04-2015,23-04-2015, $604.02 ,18,875.39,88857,Accepted
Paula Hubbard,1991,25417,6,Medium,0%, $47.90 , $5.86 ,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1938,37%,United States,West,Utah,Kearns,84118,22-02-2015,24-02-2015, $638.38 ,18,925.19,90002,Accepted
Brenda Ross,2652,18949,6,Medium,6%, $47.90 , $5.86 ,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 1938,37%,United States,West,California,Bakersfield,93309,25-05-2015,27-05-2015, $21.78 ,2,94.2,89361,Accepted
Pat Baker,2667,18401,4,High,9%, $47.90 , $5.86 ,Express Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1938,37%,United States,East,Ohio,Lakewood,44107,02-04-2015,04-04-2015, $93.95 ,3,136.16,87831,Accepted
Laurie Case Daniel,2938,24865,4,High,3%, $47.90 , $5.86 ,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1938,37%,United States,East,Massachusetts,Stoneham,2180,22-04-2015,25-04-2015, $642.99 ,20,931.87,87620,Accepted
Dale Gillespie,136,25762,8,Critical,4%, $18.97 , $9.54 ,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1939,37%,United States,West,California,Petaluma,94952,16-05-2015,17-05-2015, $3.04 ,5,101.74,88534,Accepted
Jean Webster,772,22877,8,Critical,10%, $18.97 , $9.54 ,Express Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1939,37%,United States,East,Pennsylvania,Allentown,18103,14-01-2015,16-01-2015, $(9.16),3,56.73,88666,Accepted
Russell Chan,1142,24539,6,Medium,1%, $18.97 , $9.54 ,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1939,37%,United States,Central,Texas,Waco,76706,06-06-2015,09-06-2015, $85.88 ,11,227.67,86575,Accepted
Edna Thomas,24,20631,4,High,6%, $55.48 , $14.30 ,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,37%,United States,West,California,Laguna Niguel,92677,28-01-2015,29-01-2015, $(28.30),1,67.49,87651,Accepted
Sidney Scarborough,1672,25067,3,Low,8%, $55.48 , $14.30 ,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 194,37%,United States,South,Virginia,Charlottesville,22901,07-06-2015,09-06-2015, $(225.56),17,942.53,86723,Accepted
Jackie Capps,1781,19237,4,High,0%, $55.48 , $14.30 ,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,37%,United States,West,California,San Carlos,94070,12-06-2015,14-06-2015, $454.45 ,11,658.62,89857,Accepted
Hannah Carver,2912,21291,4,High,6%, $55.48 , $14.30 ,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 194,37%,United States,Central,North Dakota,Grand Forks,58201,28-04-2015,30-04-2015, $443.02 ,12,642.06,87396,Accepted
Tammy Raynor,3011,1043,8,Critical,10%, $104.85 , $4.65 ,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1941,37%,United States,East,Massachusetts,Boston,2113,28-04-2015,29-04-2015," $1,184.12 ",58,5582.63,7623,Accepted
Annie Livingston,3012,19043,8,Critical,10%, $104.85 , $4.65 ,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1941,37%,United States,East,New York,Rochester,14609,28-04-2015,29-04-2015, $929.80 ,14,1347.53,86346,Accepted
Alexandra Wise,597,25949,13,Not Specified,10%, $6.48 , $5.90 ,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1976,37%,United States,Central,Indiana,Columbus,47201,10-06-2015,10-06-2015, $(51.64),19,116.8,86310,Accepted
Lawrence Hester,3105,18088,8,Critical,2%, $6.48 , $5.90 ,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1976,37%,United States,South,Kentucky,Murray,42071,20-03-2015,21-03-2015, $4.39 ,13,90.98,86327,Accepted
Alexander O'Brien,3106,88,8,Critical,2%, $6.48 , $5.90 ,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1976,37%,United States,Central,Texas,Houston,77041,20-03-2015,21-03-2015, $(50.64),53,370.91,548,Accepted
Dana Burgess,865,19947,3,Low,4%, $6.48 , $5.16 ,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1985,37%,United States,Central,Indiana,East Chicago,46312,26-02-2015,02-03-2015, $(11.13),12,86.79,90675,Accepted
Leslie Shannon,1950,24793,13,Not Specified,1%, $6.68 , $4.91 ,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1986,37%,United States,West,Montana,Butte,59750,06-01-2015,08-01-2015, $(15.48),7,51.03,90414,Accepted
Bonnie Matthews Rowland,1959,3686,3,Low,4%, $6.68 , $4.91 ,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1986,37%,United States,South,Florida,Miami,33916,18-04-2015,25-04-2015, $(14.32),5,41.22,26342,Accepted
Sean Burton,1962,21686,3,Low,4%, $6.68 , $4.91 ,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1986,37%,United States,Central,Michigan,Saginaw,48601,18-04-2015,25-04-2015, $(11.63),1,8.24,88857,Accepted
Leigh Burnette Hurley,2107,5502,6,Medium,7%, $6.48 , $5.74 ,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1994,37%,United States,Central,Illinois,Chicago,60601,06-06-2015,06-06-2015, $(28.45),20,134.58,39015,Accepted
Alfred Barber,2108,23502,6,Medium,7%, $6.48 , $5.74 ,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1994,37%,United States,Central,Missouri,Mehlville,63129,06-06-2015,06-06-2015, $(14.23),5,33.65,87862,Accepted
Jordan Beard,3045,21475,4,High,0%, $6.48 , $5.19 ,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 1995,37%,United States,Central,Kansas,Leavenworth,66048,06-06-2015,07-06-2015, $(14.08),12,84.04,86104,Accepted
Tammy Goldman,194,24273,13,Not Specified,2%, $6.48 , $9.17 ,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1996,37%,United States,West,Utah,Lehi,84043,10-01-2015,11-01-2015, $(105.69),4,28.2,90431,Accepted
Kate Lehman,1494,19473,8,Critical,9%, $6.48 , $9.17 ,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1996,37%,United States,East,Maryland,Dundalk,21222,11-03-2015,13-03-2015, $(76.54),6,42.16,85880,Accepted
Betty Giles,2897,20305,4,High,0%, $6.48 , $10.05 ,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1997,37%,United States,Central,Minnesota,Maple Grove,55369,13-02-2015,15-02-2015, $(38.72),2,16.31,86926,Accepted
Eugene H Walsh,2587,20976,6,Medium,1%, $6.48 , $6.57 ,Express Air,Home Office,Office Supplies,Paper,Small Box,Xerox 20,37%,United States,Central,Wisconsin,Manitowoc,54220,28-02-2015,28-02-2015, $(46.52),18,127.83,91166,Accepted
Alicia Curtis,691,19933,4,High,9%, $6.48 , $6.35 ,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 200,37%,United States,West,Washington,Tacoma,98408,21-03-2015,22-03-2015, $(88.60),8,49.81,89915,Accepted
